Product Name,Price,Quantity Available,Specifications
Կոնքամանի էքսցենտրիկ կոշտ ANI PLAST W0220,1950,2,Չափսեր` - 124*141*168 մմ
Սիֆոնի գլխիկ մեծ ANI PLAST M250,4300,2,
Սիֆոնի գլխիկ ANI PLAST M200,1200,5,
Սիֆոնի գլխիկ ANI PLAST M100,1100,5,
Կոնքամանի գոֆռե ANI PLAST K828,1850,8,Չափսեր` - 225*133*133 մմ
Կոնքամանի գոֆռե ANI PLAST K821,2650,4,Չափսեր` - 200*133*133 մմ
Գոֆռե ANI PLAST K217,1900,4,Չափսեր` - 541*58*58 մմ
Գոֆռե ANI PLAST K205,850,4,Չափսեր` - 320*61*61 մմ
Գոֆռե ANI PLAST K203,930,3,Չափսեր` - 320*61*61
Գոֆրե ANI PLAST K115,1300,11,Չափսեր` - 495*67*67 մմ
Գոֆռե 40-80 ANI PLAST K106,900,3,Չափսեր` - 320*67*67 մմ
Սիֆոն գոֆրե ANI PLAST G716,1650,2,Չափսեր` - 571x75х75 մմ
Սիֆոն գոֆռե ANI PLAST G108,2100,7,Չափսեր` - 476*140*75
Սիֆոն գոֆռե ANI PLAST G115,2350,6,Չափսեր` - 525*75*75 մմ
Վաննայի սիֆոն ANI PLAST E050,4500,1,Չափսեր` - 74*260*128 մմ
Վաննայի սիֆոն ANI PLAST E255,4750,2,Չափսեր` - 234*115*74 մմ
Պադոնի սիֆոն ANI PLAST E010,1900,2,Չափսեր` - 106*66*227 մմ
Պադոնի սիֆոն ANI PLAST E015,2600,2,Չափսեր` - 106*66*227 մմ
Սիֆոն գոֆռե ANI PLAST BM1015,2500,5,Չափսեր` - 170*415*70 մմ
Սիֆոն 1 տեղ գոֆռե ANI PLAST A0115,2700,7,Չափսեր` - 270*110*86 մմ
Սիֆոն 1 տեղ գոֆռե ANI PLAST C0115,2900,8,Չափսեր` - 270*94*73 մմ․
Կոնքամանի դյուբել ZUBR 44211,550,13,"Տրամագիծ` - 8 մմ․, Գույն` - խռոմ"
Կոնքամանի դյուբել ZUBR 44210,470,8,"Տրամագիծ` - 8 մմ․, Գույն` - սպիտակ"
"Դյուբել՝ լվացարանի, հաստ, ZUBR 44216",1100,11,Հաստությունը` - 14 մմ․
Դյուբել լվացարանի ZUBR 44215,650,10,"Նախնական հորատման տրամագիծ` - 10 մմ., Դյուբելի չափսեր` - 10x50 մմ․"
