Product Name,Price,Quantity Available,Specifications
Տրանսպարտյոր 600x320 մմ VOREL 18374,5300,2,"Չափսեր` - 600 x 320 մմ, Անկյան չափման միջակայք` - 30 | 45 | 60 | 75 | 90 ˚"
Քանոն անկյուն T-ձև 1200x390մմ VOREL 18372,6500,1,"Չափսեր` - 1200 x 390 մմ, Անկյան չափման միջակայք` - 15 | 30 | 45 | 60 | 75 | 90 ˚"
Քանոն անկյուն 200 - 300 մմ VOREL 18201,850,4,Չափսեր` - 200 - 300 մմ
Քանոն անկյուն 400 - 600 մմ VOREL 18200,1450,4,Չափսեր` - 400 - 600 մմ
"Ձողակարկին թվային carbon 150մմ+/-0,02մմ VOREL 15113",2950,2,"Չափման միջակայք` - 0 - 150 մմ, Չափման ճշգրտություն` - ± 0,02 մմ"
"Ձողակարկին կաշվե պատյանով 150մմ+/-0,02մմ VOREL 15110",3600,3,"Չափման միջակայք` - 0 - 150 մմ, Չափման ճշգրտություն` - ± 0,02 մմ"
"Ձողակարկին 150մմ+/-0,05մմ VOREL 15100",3550,2,"Չափման միջակայք` - 0 - 150 մմ, Չափման ճշգրտություն` - ± 0.05 մմ"
Ձողակարկին 150մմ պլասմաս VOREL 15120,550,4,"Չափման միջակայք` - 0 - 150 մմ, Չափման ճշգրտություն` - ± 0,05 մմ"
Լազերային մետր օպտիկական 1200մ CROWN CT44039,91400,1,Չափման տարածք` - 1200 մ․
Լազերային մետր օպտիկական 600մ CROWN CT44038,57550,1,Չափման տարածք` - 600 մ
Մետր 5/19մմ YATO YT-71187,3200,5,"Երկարություն` - 5 մ․, Լայնություն` - 19 մմ․"
Մետր 3/16մմ YATO YT-71186,2100,5,"Երկարություն` - 3 մ․, Լայնություն` - 16 մմ․"
Քանոն եռանկյունի Սև 180մմ YATO YT-70786,5400,2,Երկարություն` - 180 մմ․
Քանոն շաբլոն 250մմ YATO YT-44130,12500,1,Երկարություն` - 250 մմ.
Լազերային հարթաչափ YATO YT-30433,37600,1,"Ճշգրտություն` - ±3մմ, Աշխատանքային միջակայք` - 10մ, Լազերային գույն` - Կանաչ, լազերային դիոդ` - 510–530 Նմ"
Լազերային հարթաչափի կանգնակ 280մմ YATO YT-30471,7350,1,"Առավելագույն բարձրություն` - 280 մմ, Նվազագույն բարձրություն` - 150 մմ"
Տեստեր EM306B BERENT BT9176,8250,1,
Տեստեր թվային BERENT BT9048,3450,2,
Քանոն BERENT BT4177,2900,6,Չափսեր` - 1մ - 32 x 1.4 մմ
Քանոն BERENT BT4179,12250,1,Չափսեր` - 2մ - 40 x 18 մմ
Քանոն BERENT BT4173,650,1,"Չափսեր` - 30սմ - 25 x 0,8մմ"
Քանոն BERENT BT4174,1200,5,"չափսեր` - 50 սմ․ - 28 x 0,9 մմ․"
Քանոն եռանկյուն 150մմ BERENT BT4187,1900,2,
Մետր փոքր ակերով BERENT BT4104,21700,1,
"Մետր սև 7,5մ / 25մմ BERENT BT4204",2500,8,"Չափսեր` - 7,5մ / 25մմ"
"Մետր դեղնավուն 3,5 մ /16 մմ BERENT BT4150",850,5,"Չափսեր` - 3,5 մ /16 մմ"
Հարթաչափ կապույտ մագնիսով 100սմ BERENT BT4038,5900,2,Երկարություն` - 100 մ
Հարթաչափ ալյումինե մագնիսով 40սմ BERENT BT4153,1950,2,Երկարություն` - 400 մմ.
Հարթաչափ ալյումինե մագնիսով 50սմ BERENT BT4155,2100,2,Երկարություն` - 500 մմ.
